id,LOCATION,AGE,HEIGHT,WEIGHT,WINGSPAN,X0.10M,X0.30M,X0.40M,X30.40M,TRIPLE.BROAD.JUMP,SINGLE.BROAD.JUMP,ABSOLUTE.6SEC.PEAK.POWER,RELATIVE.6SEC.PEAK.POWER,UB.PUSH,UB.PULL,LB.PUSH,CONCEPT.TOTAL,ARM.LEG.BIKE,NA.,HEIGHT.1,WEIGHT.1,WINGSPAN.1,X0.10M.1,X0.30M.1,X0.40M.1,X30.40M.1,TRIPLE.BROAD.JUMP.1,SINGLE.BROAD.JUMP.1,ABSOLUTE.6SEC.PEAK.POWER.1,RELATIVE.6SEC.PEAK.POWER.1,UB.PUSH.1,UB.PULL.1,LB.PUSH.1,CONCEPT.TOTAL.1,ARM.LEG.BIKE.1,CUMULATIVE..PHYSICAL.TESTS.
1,BC,21,185.5,90.1,201.5,1.52,3.69,4.67,0.98,8.81,3.09,1615,17.9245283,368,508,854,1730,73,#N/A,0.619265474,1.036559941,1.606713693,1.937838843,1.579744674,1.305792543,0.71337384,0.450955468,1.468992925,1.35542322,0.643075521,-0.267662258,0.03602075,0.522805771,0.206710412,0.130908598,0.547488508
2,AB,19.3,182,82,190,1.67,4.06,5.14,1.08,8.66,3.02,1290,15.73170732,459,609,891,1959,65,#N/A,0.171987073,0.37004824,0.325346871,0.554195343,0.348778426,0.351028238,0.283155594,0.279254482,1.19542289,0.083750415,-0.226709214,0.703687222,0.825953316,0.71633643,0.802274711,-1.475331867,-0.05389673
3,BC,16,169.5,71.2,183,1.52,3.76,4.81,1.05,8.69,2.56,1210,16.99438202,388,469,714,1571,72,#N/A,-1.425435788,-0.518634027,-0.454615542,1.937838843,1.353409604,1.021394665,0.412221068,0.313594679,-0.602323054,-0.229276738,0.274132027,-0.054178855,-0.269002715,-0.209472401,-0.206803665,-0.06987146,0.266489249
4,ATLANTIC,18.1,178.3,85.9,187,1.76,4.22,5.4,1.18,8.9,2.61,1475,17.17112922,443,604,924,1971,73,#N/A,-0.300850094,0.690961281,-0.008922734,-0.275990757,-0.179389052,-0.17713925,-0.147062651,0.553976059,-0.406915886,0.807625704,0.344238988,0.5329005,0.786847743,0.888944857,0.83348332,0.130908598,0.337093543
5,Quebec,21.6,169.7,77.1,177.8,1.7,4.01,5.07,1.06,8.99,2.73,1144,14.83787289,340,468,682,1490,64,#N/A,-1.399877022,-0.033150196,-1.034016192,0.277466643,0.522139094,0.493227177,0.369199244,0.65699665,0.062061316,-0.487524138,-0.581249573,-0.566539021,-0.27682383,-0.376850269,-0.417461779,-1.676111925,-0.30491989
6,ATLANTIC,20,187.7,80.9,193.8,1.8,4.29,5.46,1.17,8.54,2.79,1390,17.18170581,369,453,661,1483,73,#N/A,0.900411898,0.279534306,0.748755039,-0.644962357,-0.412072886,-0.299024055,-0.104040827,0.141893694,0.296549918,0.475034355,0.348434203,-0.256988087,-0.394140547,-0.486691995,-0.435666801,0.130908598,-0.022690872
7,BC,17,184.5,78.3,194.5,1.54,3.77,4.86,1.09,8.47,2.69,1503,19.1954023,342,476,676,1494,69,#N/A,0.491471645,0.065592278,0.82675128,1.753353043,1.325161301,0.919823994,0.24013377,0.061766568,-0.094264418,0.917185207,1.147169021,-0.54519068,-0.214254914,-0.40823362,-0.407058909,-0.672211635,0.209897808
8,AB,25.3,178,83.8,189.5,1.62,3.91,4.98,1.07,9.1,2.79,1260,15.03579952,438,536,934,1908,65,#N/A,-0.339188242,0.518161952,0.26963527,1.015409843,0.86244306,0.676054385,0.326177419,0.782910706,0.296549918,-0.033634767,-0.502741768,0.47952965,0.255011957,0.94125044,0.66963812,-1.475331867,0.030105915
9,BC,19,194.5,90,205,1.55,3.84,4.88,1.04,9.08,3.01,1281,14.23333333,677,694,1052,2423,73,#N/A,1.769409934,1.028331402,1.9966949,1.661110143,1.100092664,0.879195726,0.455242893,0.760017241,1.156341456,0.04853486,-0.821040821,3.030656305,1.490748049,1.558456328,2.009007614,0.130908598,0.591617671
10,BC,17,173.5,80.2,193,1.51,3.83,4.88,1.05,8.9,2.82,1238,15.43640898,440,547,767,1754,66,#N/A,-0.914260472,0.221934529,0.659616477,2.030081743,1.138098191,0.879195726,0.412221068,0.553976059,0.413794219,-0.119717234,-0.343839609,0.50087799,0.341044216,0.067747192,0.269127631,-1.274551809,0.016781599
